cid,drug_name,smiles,molecular_formula,molecular_weight
1999,Acetylpheneturide,CCC(C1=CC=CC=C1)C(=O)NC(=O)NC(=O)C,C13H16N2O3,248.28
2000,Afalanine,CC(=O)NC(CC1=CC=CC=C1)C(=O)O,C11H13NO3,207.23
2001,"[6-[5-(5-Acetyloxy-4-hydroxy-4,6-dimethyloxan-2-yl)oxy-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-10-[5-(dimethylamino)-6-methyloxan-2-yl]oxy-5-methoxy-9,16-dimethyl-2-oxo-7-(2-oxoethyl)-1-oxacyclohexadeca-11,13-dien-4-yl] acetate",CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)OC(=O)C)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)C)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,C47H78N2O16,927.1
2002,N-Acetyltryptophan,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O,C13H14N2O3,246.26
2003,2-acetamido-3-(1H-indol-3-yl)propanamide,CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)N,C13H15N3O2,245.28
2004,Acetyl tyrosine ethyl ester,CCOC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C,C13H17NO4,251.28
2005,6-Acetylaminocaproic acid,CC(=O)NCCCCCC(=O)O,C8H15NO3,173.21
2006,Acitazanolast,C1=CC(=CC(=C1)NC(=O)C(=O)O)C2=NNN=N2,C9H7N5O3,233.18
2007,"5-Isoxazoleacetic acid, alpha-amino-3-chloro-4,5-dihydro-",C1C(ON=C1Cl)C(C(=O)O)N,C5H7ClN2O3,178.57
2008,Antibiotic MA 144A1,CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)OC7CCC(=O)C(O7)C)O)N(C)C)O,C42H53NO15,811.9
2009,Aclatonium,CC(C(=O)OCC[N+](C)(C)C)OC(=O)C,C10H20NO4+,218.27
2010,"[5-(3-Acetylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl [[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphate",CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,C22H28N6O14P2,662.4
2011,AcPyAD,CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O,C22H29N6O14P2+,663.4
2012,Npc87288,CCN1CC2(C(CC(C34C2C(C(C31)C5(C6C4CC(C6OC(=O)C7=CC=CC=C7)(C(C5O)OC)O)OC(=O)C)OC)OC)O)COC,C34H47NO11,645.7
2013,"N-(2-cyclopropylethyl)icosa-5,8,11,14-tetraenamide",CCCCCC=CCC=CCC=CCC=CCCCC(=O)NCCC1CC1,C25H41NO,371.6
2014,1-(4-Amidinophenyl)-3-(4-Chlorophenyl)Urea,C1=CC(=CC=C1C(=N)N)NC(=O)NC2=CC=C(C=C2)Cl,C14H13ClN4O,288.73
2015,Acridone,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2,C13H9NO,195.22
2016,"3,6-Diamino-10-methylacridinium",C[N+]1=C2C=C(C=CC2=CC3=C1C=C(C=C3)N)N,C14H14N3+,224.28
2017,Ethacridine,CCOC1=CC2=C(C3=C(C=C(C=C3)N)N=C2C=C1)N,C15H15N3O,253.30
2018,Actarit,CC(=O)NC1=CC=C(C=C1)CC(=O)O,C10H11NO3,193.20
2019,Dactinomycin (USP),CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,C62H86N12O16,1255.4
2020,N~4~-Hydroxy-N~1~-(1-(2-(hydroxymethyl)pyrrolidin-1-yl)-3-methyl-1-oxobutan-2-yl)-2-pentylbutanediamide,CCCCCC(CC(=O)NO)C(=O)NC(C(C)C)C(=O)N1CCCC1CO,C19H35N3O5,385.5
2021,"4a,7,9-Trihydroxy-2-methyl-6,8-bis(methylamino)decahydro-4H-pyrano[2,3-b][1,4]benzodioxin-4-one",CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O,C14H24N2O7,332.35
2022,,C1=NC2=C(N1COCCO)NC(=NC2=O)N,C8H11N5O3,225.20
2023,"[2-(6-Aminopurin-9-yl)-4-[3-hydroxy-6-(hydroxymethyl)-4,5-diphosphonooxyoxan-2-yl]oxy-5-(hydroxymethyl)oxolan-3-yl] dihydrogen phosphate",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)OC4C(C(C(C(O4)CO)OP(=O)(O)O)OP(=O)(O)O)O)OP(=O)(O)O)N,C16H26N5O18P3,669.3
2024,"Adenosine 2',3'-cyclic phosphate",C1=NC(=C2C(=N1)N(C=N2)C3C4C(C(O3)CO)OP(=O)(O4)O)N,C10H12N5O6P,329.21
2025,,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)S)O)O)N,C10H14N5O6PS,363.29
2026,"N-(2-aminoethyl)-2-[4-[[2-[4-[[9-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]purin-6-yl]amino]phenyl]acetyl]amino]phenyl]acetamide",C1=CC(=CC=C1CC(=O)NC2=CC=C(C=C2)CC(=O)NCCN)NC3=C4C(=NC=N3)N(C=N4)C5C(C(C(O5)CO)O)O,C28H32N8O6,576.6
2027,"[(2R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxy-oxolan-2-yl]me thoxyphosphonic acid",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)OP(=O)(O)O)N,C10H15N5O10P2,427.20
2028,"ATP,Gamma S",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=S)(O)O)O)O)N,C10H16N5O12P3S,523.25
2029,"[[5-(6-Aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [5-(2,4-dioxopyrimidin-1-yl)-2-(phosphonooxymethyl)oxolan-3-yl] hydrogen phosphate",C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)(O)O)OP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)OP(=O)(O)O,C19H27N7O20P4,797.3
2030,"[5-(6-Aminopurin-9-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [5-(2,4-dioxopyrimidin-1-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methyl hydrogen phosphate",C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OC3C(OC(C3O)N4C=NC5=C(N=CN=C54)N)CO)OP(=O)(O)O)O,C19H25N7O15P2,653.4
2031,Adiphenine,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2,C20H25NO2,311.4
2032,3-(N-Acetylamino)-5-(N-decyl-N-methylamino)benzyl alcohol,CCCCCCCCCCN(C)C1=CC(=CC(=C1)NC(=O)C)CO,C20H34N2O2,334.5
2033,"Docosa-7,10,13,16-tetraenoic acid",CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)O,C22H36O2,332.5
2034,Adrenochrome guanylhydrazone,CN1CC(C2=CC(=C(C=C21)O)N=NC(=N)N)O,C10H13N5O2,235.24
2035,"2-Hydroxyethyl icosa-5,8,11,14-tetraenoate",CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCCO,C22H36O3,348.5
2036,"2,4-Cyclohexadiene-1-acetonitrile, 3,5-dibromo-1,6-dihydroxy-4-methoxy-, (1S-trans)-",COC1=C(C(C(C=C1Br)(CC#N)O)O)Br,C9H9Br2NO3,338.98
2037,"[2-[4-(Diaminomethylideneamino)butylcarbamoyl]-1-[2-[[2-hydroxy-3-(4-hydroxyphenyl)propanoyl]amino]-3-methylpentanoyl]-2,3,3a,4,5,6,7,7a-octahydroindol-6-yl] hydrogen sulfate",CCC(C)C(C(=O)N1C2CC(CCC2CC1C(=O)NCCCCN=C(N)N)OS(=O)(=O)O)NC(=O)C(CC3=CC=C(C=C3)O)O,C29H46N6O9S,654.8
2038,,C1=C2C=C(C(=O)C=C2OC(=C1)O)OC3C(C(C(C(O3)CO)O)O)O,C15H16O9,340.28
2039,(2-Aminoethyl)isothiourea,C(CSC(=N)N)N,C3H9N3S,119.19
2040,Afloqualone,CC1=CC=CC=C1N2C(=NC3=C(C2=O)C=C(C=C3)N)CF,C16H14FN3O,283.30
2041,4-Nitrobenzylidene malononitrile,C1=CC(=CC=C1C=C(C#N)C#N)[N+](=O)[O-],C10H5N3O2,199.17
2042,"2-amino-4-(1H-indol-5-yl)buta-1,3-diene-1,1,3-tricarbonitrile",C1=CC2=C(C=CN2)C=C1C=C(C#N)C(=C(C#N)C#N)N,C15H9N5,259.27
2043,,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=C(C#N)C(=N)S,C18H24N2OS,316.5
2044,Tyrphostin AG 1024,CC(C)(C)C1=C(C(=CC(=C1)C=C(C#N)C#N)Br)O,C14H13BrN2O,305.17
2045,"2-Amino-4-(4'-hydroxyphenyl)-1,1,3-tricyanobuta-1,3-diene",C1=CC(=CC=C1C=C(C#N)C(=C(C#N)C#N)N)O,C13H8N4O,236.23
2046,AG 126,C1=CC(=C(C=C1C=C(C#N)C#N)O)[N+](=O)[O-],C10H5N3O3,215.16
2047,,C1=C(C=C(C(=O)C1=O)N(O)O)C=C(C#N)C#N,C10H5N3O4,231.16
2048,AG1295,CC1=CC2=NC=C(N=C2C=C1C)C3=CC=CC=C3,C16H14N2,234.29
2049,"6,7-Dimethoxy-3-phenylquinoxaline",COC1=C(C=C2C(=C1)N=CC(=N2)C3=CC=CC=C3)OC,C16H14N2O2,266.29
2050,"4-(6,7-Dimethylquinoxalin-2-yl)benzene-1,2-diol",CC1=CC2=NC=C(N=C2C=C1C)C3=CC(=C(C=C3)O)O,C16H14N2O2,266.29
2051,"N-(3-Chlorophenyl)-6,7-dimethoxy-4-quinazolinamine",COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC,C16H14ClN3O2,315.75
2052,Tyrphostin 23,C1=CC(=C(C=C1C=C(C#N)C#N)O)O,C10H6N2O2,186.17
2053,,C1=CC(=C(C=C1C=C(C#N)C(=N)S)O)O,C10H8N2O2S,220.25
2054,"2-Cyano-3-(3,4-dihydroxyphenyl)prop-2-enoic acid",C1=CC(=C(C=C1C=C(C#N)C(=O)O)O)O,C10H7NO4,205.17
2055,"2-cyano-3-(3,4-dihydroxyphenyl)-N-phenyl-2-propenamide",C1=CC=C(C=C1)NC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N,C16H12N2O3,280.28
2056,"2-cyano-3-(3,4-dihydroxyphenyl)-N-(1-phenylethyl)prop-2-enamide",CC(C1=CC=CC=C1)NC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N,C18H16N2O3,308.3
2057,"2-(3,4-Dihydroxybenzoyl)-3-(3,4-dihydroxyphenyl)prop-2-enenitrile",C1=CC(=C(C=C1C=C(C#N)C(=O)C2=CC(=C(C=C2)O)O)O)O,C16H11NO5,297.26
2058,"2-cyano-3-(3,4-dihydroxyphenyl)-N-(3-phenylpropyl)prop-2-enamide",C1=CC=C(C=C1)CCCNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N,C19H18N2O3,322.4
2059,"2-cyano-3-(3,4-dihydroxyphenyl)-N-(4-phenylbutyl)-2-propenamide",C1=CC=C(C=C1)CCCCNC(=O)C(=CC2=CC(=C(C=C2)O)O)C#N,C20H20N2O3,336.4
2060,"Ethyl 4-[[2-[(4-fluorophenyl)methyl]-6-methyl-5-[(5-methyl-1,2-oxazole-3-carbonyl)amino]-4-oxoheptanoyl]amino]-5-(2-oxopyrrolidin-3-yl)pentanoate",CCOC(=O)CCC(CC1CCNC1=O)NC(=O)C(CC2=CC=C(C=C2)F)CC(=O)C(C(C)C)NC(=O)C3=NOC(=C3)C,C31H41FN4O7,600.7
2061,Tyrphostin 25,C1=C(C=C(C(=C1O)O)O)C=C(C#N)C#N,C10H6N2O3,202.17
2062,"3-[3-[(1,3-Benzothiazol-2-ylthio)methyl]-4-hydroxy-5-methoxyphenyl]-2-cyano-2-propenamide",COC1=CC(=CC(=C1O)CSC2=NC3=CC=CC=C3S2)C=C(C#N)C(=O)N,C19H15N3O3S2,397.5
2063,Tyrphostin A1,COC1=CC=C(C=C1)C=C(C#N)C#N,C11H8N2O,184.19
2064,"Benzoic acid, 4-[[(2,5-dihydroxyphenyl)methyl]amino]-, methyl ester",COC(=O)C1=CC=C(C=C1)NCC2=C(C=CC(=C2)O)O,C15H15NO4,273.28
2065,"2-Cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide",C1=CC(=C(C=C1C=C(C#N)C(=O)N)O)O,C10H8N2O3,204.18
2066,"2-Acetamido-3-(3,7-dimethylocta-2,6-dienylsulfanyl)propanoic acid",CC(=CCCC(=CCSCC(C(=O)O)NC(=O)C)C)C,C15H25NO3S,299.4
2067,N-Acetyl-S-geranylgeranyl-L-cysteine (AGGC),CC(=CCCC(=CCCC(=CCCC(=CCSCC(C(=O)O)NC(=O)C)C)C)C)C,C25H41NO3S,435.7
2068,3-Isopropyl-bicyclo[2.2.1]hept-2-ylamine,CC(C)C1C2CCC(C2)C1N,C10H19N,153.26
2069,"1,3-Dibenzyl-5,6-dihydroxy-4,7-bis(phenoxymethyl)-1,3-diazepan-2-one",C1=CC=C(C=C1)CN2C(C(C(C(N(C2=O)CC3=CC=CC=C3)COC4=CC=CC=C4)O)O)COC5=CC=CC=C5,C33H34N2O5,538.6
2070,"2-[[4-[Hydroxy(methoxy)methyl]phenyl]methyl]-7-[[4-(hydroxymethyl)phenyl]methyl]-1,1-dioxo-3,6-bis(phenoxymethyl)-1,2,7-thiadiazepane-4,5-diol",COC(C1=CC=C(C=C1)CN2C(C(C(C(N(S2(=O)=O)CC3=CC=C(C=C3)CO)COC4=CC=CC=C4)O)O)COC5=CC=CC=C5)O,C35H40N2O9S,664.8
2071,"(RS)-aminoindan-1,5-dicarboxylic Acid",C1CC(C2=C1C=C(C=C2)C(=O)O)(C(=O)O)N,C11H11NO4,221.21
2072,5-aminoisoquinolin-1(2H)-one,C1=CC2=C(C=CNC2=O)C(=C1)N,C9H8N2O,160.17
2073,Aritmina,CCC1C2CC3C4C5(CC(C2C5O)N3C1O)C6=CC=CC=C6N4C,C20H26N2O2,326.4
2074,Aklavine,CCC1(CC(C2=C(C3=C(C=C2C1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)OC5CC(C(C(O5)C)O)N(C)C)O,C30H35NO10,569.6
2075,Aklomide,C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)N,C7H5ClN2O3,200.58
2076,"(2-Methoxy-3-octadecoxypropyl) [2,3,4,6-tetrahydroxy-5-(hydroxymethyl)cyclohexyl] carbonate",CCCCCCCCCCCCCCCCCCOCC(COC(=O)OC1C(C(C(C(C1O)O)O)CO)O)OC,C30H58O10,578.8
2077,2-[[1-(3-Acetylsulfanyl-2-methyl-propanoyl)pyrrolidine-2-carbonyl]amino]-3-phenyl-propanoic acid,CC(CSC(=O)C)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)O,C20H26N2O5S,406.5
2078,Alachlor,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,C14H20ClNO2,269.77
2079,H-beta-Ala-DL-leu-OH,CC(C)CC(C(=O)O)NC(=O)CCN,C9H18N2O3,202.25
2080,N-DL-Alanyl-DL-3-phenylalanine,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)O)N,C12H16N2O3,236.27
2081,Alaproclate,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,C13H18ClNO2,255.74
2082,Albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,C12H15N3O2S,265.33
2083,Salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,C13H21NO3,239.31
2084,(3-Chloro-4-Propoxy-Phenyl)-Acetic Acid,CCCOC1=C(C=C(C=C1)CC(=O)O)Cl,C11H13ClO3,228.67
2085,"Alclomethasone-17,21-dipropionate",CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3C2C(CC4=CC(=O)C=CC34C)Cl)O)C)C)OC(=O)CC,C28H37ClO7,521.0
2086,Aldicarb [ISO],CC(C)(C=NOC(=O)NC)SC,C7H14N2O2S,190.27
2087,"1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4,5,8-dimethanonaphthalene",C1C2C=CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl,C12H8Cl6,364.9
2088,Alendronic Acid,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,C4H13NO7P2,249.10
2089,"9,11,11-Trimethyl-2-methylidene-4-[(9,11,11-trimethyl-3-oxo-2-tricyclo[4.3.2.01,5]undecanyl)methyl]tricyclo[4.3.2.01,5]undecan-3-one",CC1CCC2C3C1(CC2(C)C)C(C(=O)C3)CC4C5C6CCC(C5(CC6(C)C)C(=C)C4=O)C,C30H44O2,436.7
2090,Alexidine,CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N,C26H56N10,508.8
2091,"5-[2-[1-(1,5-dimethylhexyl)-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylene-cyclohexane-1,3-diol",CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C,C27H44O2,400.6
2092,Alfuzosin,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,C19H27N5O4,389.4
2093,"2-(3,7-Dimethyl-1,3,5,7-nonatetrenyl)-1,3,3-trimethyl-1-cyclohexene",CC=C(C)C=CC=C(C)C=CC1=C(CCCC1(C)C)C,C20H30,270.5
2094,,C1=C2C(=NC=NC2=O)NN1,C5H4N4O,136.11
2095,"2-(dimethylamino)-6-(hydroxymethyl)-4,5,6,6a-tetrahydro-3aH-cyclopenta[d][1,3]oxazole-4,5-diol",CN(C)C1=NC2C(C(C(C2O1)CO)O)O,C9H16N2O4,216.23
2096,"17-allyl-13-methyl-2,3,6,7,8,9,10,11,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-17-ol",CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34,C21H32O,300.5
2097,Alminoprofen,CC(C1=CC=C(C=C1)NCC(=C)C)C(=O)O,C13H17NO2,219.28
2098,"1,8-dihydroxy-3-(hydroxymethyl)-10-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-10H-anthracen-9-one",C1=CC2=C(C(=C1)O)C(=O)C3=C(C2OC4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO,C21H22O10,434.4
2099,Alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,C17H18N4O,294.35
2100,Cerapp_20658,CCC(C)C1C(=O)NCC(=O)NC2CS(=O)C3=C(CC(C(=O)NCC(=O)N1)NC(=O)C(NC(=O)C4CC(CN4C(=O)C(NC2=O)CC(=O)N)O)C(C)C(CO)O)C5=C(N3)C=C(C=C5)O,C39H54N10O14S,919.0
2101,2-Cyano-3-(3-hydroxyphenyl)-2-propenoic acid,C1=CC(=CC(=C1)O)C=C(C#N)C(=O)O,C10H7NO3,189.17
2102,Alpha-Cyano-4-Hydroxycinnamic Acid,C1=CC(=CC=C1C=C(C#N)C(=O)O)O,C10H7NO3,189.17
2103,"[[4-[[3-[(4-Amino-3-fluoro-4-oxobutyl)amino]-3-oxopropyl]amino]-3-hydroxy-2,2-dimethyl-4-oxobutoxy]-hydroxyphosphoryl] [5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methyl hydrogen phosphate",CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCC(C(=O)N)F)O,C23H38FN8O17P3,810.5
2104,"4-[3-[[4-[[[5-(6-Aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]-2-fluorobutanoic acid",CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCC(C(=O)O)F)O,C23H37FN7O18P3,811.5
2105,2-Guanidinopentanedioic acid,C(CC(=O)O)C(C(=O)O)N=C(N)N,C6H11N3O4,189.17
2106,"(1-Hydroxy-3,7,11-trimethyldodeca-2,6,10-trien-1-yl)phosphonic acid",CC(=CCCC(=CCCC(=CC(O)P(=O)(O)O)C)C)C,C15H27O4P,302.35
2107,Alpha-Methylserotonin,CC(CC1=CNC2=C1C=C(C=C2)O)N,C11H14N2O,190.24
2108,"beta-D-Galactopyranoside, methyl",COC1C(C(C(C(O1)CO)O)O)O,C7H14O6,194.18
2109,2-Methylaspartic acid,CC(CC(=O)O)(C(=O)O)N,C5H9NO4,147.13
2110,alpha-Methyl-m-tyrosine,CC(CC1=CC(=CC=C1)O)(C(=O)O)N,C10H13NO3,195.21
2111,2-Methyl-DL-methionine,CC(CCSC)(C(=O)O)N,C6H13NO2S,163.24
2112,"Tyrosine, alpha-methyl-, methyl ester",CC(CC1=CC=C(C=C1)O)(C(=O)OC)N,C11H15NO3,209.24
2113,alpha-Methylornithine,CC(CCCN)(C(=O)O)N,C6H14N2O2,146.19
2114,"1-Naphthalenol, 1-(dihydrogen phosphate), sodium salt (1:1)",C1=CC=C2C(=C1)C=CC=C2OP(=O)(O)[O-].[Na+],C10H8NaO4P,246.13
2115,Naphthyl phosphate,C1=CC=C2C(=C1)C=CC=C2OP(=O)(O)O,C10H9O4P,224.15
2116,DL-alpha-Tocopherol,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,C29H50O2,430.7
2117,Dl-alpha-tocopherol acetate,CC1=C(C(=C(C2=C1OC(CC2)(C)CCCC(C)CCCC(C)CCCC(C)C)C)OC(=O)C)C,C31H52O3,472.7
2118,Alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,C17H13ClN4,308.8
2119,Alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O,C15H23NO2,249.35
2120,Alrestatin,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CC(=O)O,C14H9NO4,255.22
2121,,C1C2=C3C=C(C=CC3=NC2=C4C=CC=CC4=NC1=O)N(O)O,C16H11N3O3,293.28
2122,Althiazide,C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,C11H14ClN3O4S3,383.9
2123,Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,C9H18N6,210.28
2124,Aluminum fluoride,F[Al](F)F,AlF3,83.976748
2125,"N-(piperidin-1-yl)-1-(2,4-dichlorophenyl)-5-(4-iodophenyl)-4-methyl-1H-pyrazole-3-carboxamide",CC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)I,C22H21Cl2IN4O,555.2
2126,Ro 40-6055,CC1(CCC(C2=C1C=CC(=C2)C(=O)NC3=CC=C(C=C3)C(=O)O)(C)C)C,C22H25NO3,351.4
2127,"N-(4-hydroxyphenyl)eicosa-5,8,11,14-tetraenamide",CCCCCC=CCC=CCC=CCC=CCCCC(=O)NC1=CC=C(C=C1)O,C26H37NO2,395.6
2128,"2-(3,4-Dichlorophenyl)ethyl-[2-hydroxy-3-[4-(methanesulfonamido)phenoxy]propyl]-methylazanium",C[NH+](CCC1=CC(=C(C=C1)Cl)Cl)CC(COC2=CC=C(C=C2)NS(=O)(=O)C)O,C19H25Cl2N2O4S+,448.4
2129,"1-(4-methanesulfonamidophenoxy)-3-(N-methyl-3,4-dichlorophenylethylamino)-2-propanol",CN(CCC1=CC(=C(C=C1)Cl)Cl)CC(COC2=CC=C(C=C2)NS(=O)(=O)C)O,C19H24Cl2N2O4S,447.4
2130,Amantadine,C1C2CC3CC1CC(C2)(C3)N,C10H17N,151.25
2131,Ambenonium,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl,C28H42Cl2N4O2+2,537.6
2132,Ambroxol,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,C13H18Br2N2O,378.10
2133,Penticort,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6,C28H35FO7,502.6
2134,Ametantrone,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)NCCNCCO)NCCNCCO,C22H28N4O4,412.5
2135,5-Methoxy-1-phenylpyridazin-1-ium-4-amine,COC1=C[N+](=NC=C1N)C2=CC=CC=C2,C11H12N3O+,202.23
2136,Amfenac,C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)O,C15H13NO3,255.27
2137,Amfonelic Acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)CC3=CC=CC=C3)C(=O)O,C18H16N2O3,308.3
2138,Amido Phenyl Pyruvic Acid,C1=CC(=CC=C1CC(=O)C(=O)O)C(=N)N,C10H10N2O3,206.20
2139,"[[4-[[3-[(4-Amino-4-oxobutyl)amino]-3-oxopropyl]amino]-3-hydroxy-2,2-dimethyl-4-oxobutoxy]-hydroxyphosphoryl] [5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methyl hydrogen phosphate",CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCCC(=O)N)O,C23H39N8O17P3,792.5
2140,Diatrizoate,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,C11H9I3N2O4,613.91
2141,Amifostine,C(CN)CNCCSP(=O)(O)O,C5H15N2O3PS,214.23
2142,4-Amino-N-(5-amino-2-((3-amino-3-deoxyhexopyranosyl)oxy)-4-((6-amino-6-deoxyhexopyranosyl)oxy)-3-hydroxycyclohexyl)-2-hydroxybutanamide,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N,C22H43N5O13,585.6
2143,3-(2'-Aminobenzhydryloxy)tropane,CN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4N,C21H26N2O,322.4
