cid,drug_name,smiles,molecular_formula,molecular_weight
51,2-Oxoglutaric Acid,C(CC(=O)O)C(=O)C(=O)O,C5H6O5,146.10
52,"(2S,3R)-3-Hydroxy-2-methylbutanoyl-CoA",CC(C(C)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,C26H44N7O18P3S,867.7
53,alphamethylacetoacetyl CoA,CC(C(=O)C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,C26H42N7O18P3S,865.6
54,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate",CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,C26H44N7O17P3S,851.7
55,"3-(3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)O)O)C)C)C)C)C)C)C)C,C46H70O2,655.0
56,"2-(3,7,11,15,19,23,27-Heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol",CC=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C,C46H70O2,655.0
57,"2-(3,7,11,15,19,23,27,31-Octamethyl-2,6,10,14,18,22,26,30-dotriacontaoctaen-1-yl)phenol",CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C,C46H70O,639.0
58,2-Oxobutanoic Acid,CCC(=O)C(=O)O,C4H6O3,102.09
59,2-Phosphoglyceric Acid,C(C(C(=O)O)OP(=O)(O)O)O,C3H7O7P,186.06
60,"((5-(4-Amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl)methoxy-hydroxyphosphoryl) (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate",CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)(O)O,C14H26N3O17P3,601.29
61,Diphosphoglyceric acid,C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O,C3H8O10P2,266.04
62,"2,4,5-Trichlorocyclohexa-2,5-dien-1-ol",C1=C(C(C=C(C1O)Cl)Cl)Cl,C6H5Cl3O,199.5
63,"2,4-Diaminopentanoic acid",CC(CC(C(=O)O)N)N,C5H12N2O2,132.16
64,"2,5-Dichloro-2,5-cyclohexadiene-1,4-diol",C1=C(C(C=C(C1O)Cl)O)Cl,C6H6Cl2O2,181.01
65,"2,5-Dichlorohydroquinone",C1=C(C(=CC(=C1Cl)O)Cl)O,C6H4Cl2O2,179.00
66,"2,5-Dichlorophenol",C1=CC(=C(C=C1Cl)O)Cl,C6H4Cl2O,163.00
67,"2,5-Diketogluconsaure",C(C(=O)C(C(C(=O)C(=O)O)O)O)O,C6H8O7,192.12
68,"2-Methyl-butan-1,2,3,4-tetraol-2,4-cyclopyrophosphate",CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO,C5H12O9P2,278.09
69,"2-Hydroxy-6-oxo-2,4-heptadienoic acid",CC(=O)C=CC=C(C(=O)O)O,C7H8O4,156.14
70,4-Methyl-2-oxovaleric acid,CC(C)CC(=O)C(=O)O,C6H10O3,130.14
71,2-Oxoadipic acid,C(CC(=O)C(=O)O)CC(=O)O,C6H8O5,160.12
72,Protocatechuic Acid,C1=CC(=C(C=C1C(=O)O)O)O,C7H6O4,154.12
73,"9-(3,5-Di-O-phosphonopentofuranosyl)-9H-purin-6-amine",C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N,C10H15N5O10P2,427.20
74,3-oxobutanoyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,C25H40N7O18P3S,851.6
75,"Propanal, 3-amino-",C(CN)C=O,C3H7NO,73.09
76,"3-Hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta(a)phenanthren-17-one",CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C,C19H28O2,288.4
77,2-Isopropylmalic acid,CC(C)C(CC(=O)O)(C(=O)O)O,C7H12O5,176.17
78,beta-Chloroalanine,C(C(C(=O)O)N)Cl,C3H6ClNO2,123.54
79,3-Cyanopyridine,C1=CC(=CN=C1)C#N,C6H4N2,104.11
80,"4,5-Dihydroxy-3-oxocyclohexene-1-carboxylic acid",C1C(C(C(=O)C=C1C(=O)O)O)O,C7H8O5,172.13
81,"4,5,6-Trihydroxy-2-oxo-7-phosphonooxyheptanoic acid",C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O,C7H13O10P,288.15
82,5-Enolpyruvoylshikimate-3-phosphate,C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O,C10H13O10P,324.18
83,,C(C(=O)C(=O)O)P(=O)O,C3H5O5P,152.04
84,3-Hydroxy-3-methylglutaryl CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)O)O)O,C27H44N7O20P3S,911.7
85,"1-propanaminium, 3-carboxy-2-hydroxy-n,n,n-trimethyl-, inner salt",C[N+](C)(C)CC(CC(=O)O)O,C7H16NO3+,162.21
86,3-Hydroxyanthranilic Acid,C1=CC(=C(C(=C1)O)N)C(=O)O,C7H7NO3,153.14
87,3-Hydroxyisobutyric acid,CC(CO)C(=O)O,C4H8O3,104.10
88,3-hydroxyisobutyryl-Coenzyme A,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,C25H42N7O18P3S,853.6
89,3-Hydroxykynurenine,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,C10H12N2O4,224.21
90,3-hydroxyhexanedioyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O,C27H44N7O20P3S,911.7
91,3-(3'-Hydroxyphenyl)propionic acid,C1=CC(=CC(=C1)O)CCC(=O)O,C9H10O3,166.17
92,"6'-Methoxycinchonan-3,9-diol",COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O,C20H24N2O3,340.4
93,beta-Ketoadipic acid,C(CC(=O)O)C(=O)CC(=O)O,C6H8O5,160.12
94,CID94; (Acyl-CoA); (M+H)+,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O)O,C27H42N7O20P3S,909.6
95,"2,4,5,6-Tetrahydroxy-3-oxohexanoic acid",C(C(C(C(=O)C(C(=O)O)O)O)O)O,C6H10O7,194.14
96,Acetoacetic Acid,CC(=O)CC(=O)O,C4H6O3,102.09
97,"3,5-Dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one",C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O,C12H20O11,340.28
98,Mercaptopyruvic acid,C(C(=O)C(=O)O)S,C3H4O3S,120.13
99,3-Methylcrotonyl CoA,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C,C26H42N7O17P3S,849.6
